piano,Klavier,
educator,Erzieher,Erzieherin
calculus,Infinitesimalrechnung,
sunrise,Sonnenaufgang,
,,
depressed,deprimiert,
caterpillar,Raupe,
family,Familie,
zinnia,Zinnie,
crocus,Krokus,
freedom,Freiheit,
always,immer,
,,
,,
divorce,Scheidung,
magnolia,Magnolie,
,,
parents,Eltern,
cockroach,Kakerlake,
war,Krieg,
,,
mace,Morgenstern,
engineer,Ingenieur,Ingenieurin
agony,Qual,
therapist,Therapeut,Therapeutin
specialist,Spezialist,Spezialistin
,,
experiment,Experiment,
peace,Frieden,
chemistry,Chemie,
,,
,,
corporation,Konzern,
,,
clover,Klee,
roach,Kakerlake,
sword,Schwert,
,,
pathologist,Pathologe,Pathologin
poison,vergiften,
,,
weevil,Rüsselkäfer,
,,
hers,ihres,
bagpipe,Dudelsack,
,,
,,
lilac,Flieder,
marigold,Ringelblume,
trombone,Posaune,
harpoon,Harpune,
stink,stinken,
he,er,
hygienist,Hygieniker,Hygienikerin
planner,Planer,Planerin
caress,streicheln,
lawyer,Anwalt,Anwältin
pansy,Stiefmütterchen,
,,
chronic,chronisch,
business,Geschäft,
,,
carnation,Nelke,
,,
cousins,Cousins,
,,
electrician,Elektriker,Elektrikerin
tulip,Tulpe,
,,
drama,Theater,
,,
,,
nasty,böse,
career,Karriere,
,,
,,
librarian,Bibliothekar,Bibliothekarin
manager,Manager,Managerin
fiddle,Geige,
teargas,Tränengas,
,,
petunia,Petunie,
worker,Arbeiter,Arbeiterin
flea,Floh,
,,
,,
moth,Motte,
,,
awful,schrecklich,
bassoon,Fagott,
tragedy,Tragödie,
assault,Angriff,
,,
son,Sohn,
her,ihr,
sick,krank,
illness,Krankheit,
,,
horsefly,Bremse,
grandfather,Großvater,
scientist,Wissenschaftler,Wissenschaftlerin
cheer,jubeln,
mandolin,Mandoline,
,,
lily,Lilie,
dynamite,Dynamit,
orchid,Orchidee,
iris,Iris,
lute,Laute,
art,Kunst,
grandmother,Oma,
hatred,Hass,
harmonica,Mundharmonika,
,,
,,
astronomy,Astronomie,
disaster,Katastrophe,
shotgun,Schrotflinte,
daughter,Tochter,
violet,Veilchen,
aunt,Tante,
,,
professional,Fachmann,Fachfrau
,,
arrow,Pfeil,
,,
,,
whip,Peitsche,
nurse,Krankenschwester,Krankenpfleger
prison,Gefängnis,
machinist,Maschinist,Maschinistin
paradise,Paradies,
,,
tearful,tränenreich,
,,
,,
,,
miserable,elend,
,,
gnat,Mücke,
mechanic,Mechaniker,Mechanikerin
forever,ewig,
centipede,Tausendfüßler,
disease,Krankheit,
,,
boy,Junge,
counselor,Berater,Beraterin
terrible,furchtbar,
,,
,,
,,
murder,Mord,
,,
carpenter,Schreiner,Schreinerin
novel,Roman,
daffodil,Narzisse,
woman,Frau,
flute,Flöte,
trumpet,Trompete,
,,
health,Gesundheit,
vacation,Urlaub,
,,
practitioner,Praktiker,Praktikerin
instructor,Instrukteur,Instrukteurin
investigator,Ermittler,Ermittlerin
math,Mathematik,
diamond,Diamant,
architect,Architekt,Architektin
rotten,faul,
slingshot,Schleuder,
azalea,Azalee,
physics,Physik,
firearm,Feuerwaffe,
cricket,Kricket,
jail,Gefängnis,
,,
unstable,instabil,
,,
,,
filth,Schmutz,
veterinarian,Tierarzt,Tierärztin
clarinet,Klarinette,
surgeon,Chirurg,Chirurgin
baker,Bäcker,Bäckerin
,,
prolonged,ausgedehnt,
receptionist,Rezeptionist,Rezeptionistin
brother,Bruder,
,,
missile,Rakete,
pharmacist,Apotheker,Apothekerin
,,
crash,Absturz,
rifle,Gewehr,
wonderful,wunderbar,
pollute,verschmutzen,
,,
,,
sad,traurig,
grief,Trauer,
she,sie,
cannon,Kanone,
uncle,Onkel,
management,Verwaltung,
nutritionist,Ernährungsberater,Ernährungsberaterin
dagger,Dolch,
cello,Cello,
fly,fliegen,
girl,Mädchen,
marriage,Ehe,
aster,Aster,
bongo,Bongo,
beetle,Käfer,
father,Vater,
clerk,Sachbearbeiter,Sachbearbeiterin
blue-bell,Glockenblume,
advisor,Berater,Beraterin
peony,Pfingstrose,
spider,Spinne,
,,
diploma,Diplom,
psychologist,Psychologe,Psychologin
,,
